"id","data.list.id","title","created","url","country"
37694,324502,"Más de 400.000 afectados por las inundaciones en África central y del oeste",2009-09-15,"http://reliefweb.int/node/324502","All"
37914,324799,"Yemen: Scores dead or missing at start of smuggling season",2009-09-17,"http://reliefweb.int/node/324799","All"
38134,325360,"Afghanistan: ICRC hospital treats bomb victims during election period",2009-09-18,"http://reliefweb.int/node/325360","All"
38354,14237,"Somalia: Population Movement Tracking Monthly Report - August 2009",2009-09-22,"http://reliefweb.int/node/14237","All"
38574,14252,"Yemen Administrative Map - Sa'ada area situation (as of 22 Sep 2009)",2009-09-23,"http://reliefweb.int/node/14252","All"
38794,325577,"India: Southwest monsoon-2009 - Daily flood situation report 24 Sep 2009",2009-09-24,"http://reliefweb.int/node/325577","All"
39014,325723,"Philippines: NDCC Update - Situation Report No. 6 on the effects of Tropical Storm ""Ondoy"" ",2009-09-27,"http://reliefweb.int/node/325723","All"
39234,325825,"USA: Red Cross helping southeast residents cope with flooding nightmare",2009-09-28,"http://reliefweb.int/node/325825","All"
39454,14270,"Philippines - Tropical Storm Ketsana (Ondoy) - Affected population as of National Disaster Coordinating Council SitRep No.13 (Sep 29th, 2009)",2009-09-29,"http://reliefweb.int/node/14270","All"
39674,326353,"RD Congo/Sud Kivu : 10 zones atteintes de choléra avec 7.079 cas dont 82 décès",2009-09-30,"http://reliefweb.int/node/326353","All"
39894,326951,"USAID DCHA East and Central Africa Region Situation Report #2 (FY 2009)",2009-09-30,"http://reliefweb.int/node/326951","All"
40114,326651,"Rwanda : En Bref - Le nombre de cas de choléra atteint 50",2009-10-01,"http://reliefweb.int/node/326651","All"
40334,327083,"India meteorological dept special moon report 1 Oct 2009",2009-10-01,"http://reliefweb.int/node/327083","All"
40554,326866,"Canada offers to take in Philippine victims of Ketsana",2009-10-01,"http://reliefweb.int/node/326866","All"
40774,326983,"Preparación legal para los desastres",2009-10-02,"http://reliefweb.int/node/326983","All"
40994,327126,"Ethiopia gears up for malaria outbreak ",2009-10-03,"http://reliefweb.int/node/327126","All"
41214,327387,"Red Cross helping in Samoa and in New Zealand",2009-10-05,"http://reliefweb.int/node/327387","All"
41434,327448,"Schools reopen after Philippine floods, but homeless remain",2009-10-05,"http://reliefweb.int/node/327448","All"
41654,327829,"Indonesia: Remote villages receive aid",2009-10-06,"http://reliefweb.int/node/327829","All"
41874,328029,"UN rights body probes Guinea massacre",2009-10-07,"http://reliefweb.int/node/328029","All"
42094,328067,"Afghanistan: Secretary-General strongly condemns lethal Kabul attack, consoles bereaved",2009-10-08,"http://reliefweb.int/node/328067","All"
42314,328327,"Indonesia: MRC humanitarian aid",2009-10-09,"http://reliefweb.int/node/328327","All"
42534,328229,"Pandemic (H1N1) 2009 - update 69",2009-10-09,"http://reliefweb.int/node/328229","All"
42754,329180,"Commission decision of on the financing of emergency humanitarian Actions in Papua New Guinea from the 10th European Development Fund (ECHO/PNG/EDF/2009/01000)",2009-10-12,"http://reliefweb.int/node/329180","All"
42974,329172,"OPT: Protection of civilians weekly report, 7 - 13 Oct 2009",2009-10-13,"http://reliefweb.int/node/329172","All"
43194,328988,"Situation humanitaire en République Démocratique du Congo (RDC) : Briefing hebdomadaire à la presse, 14 octobre 2009",2009-10-14,"http://reliefweb.int/node/328988","All"
43414,330029,"Déclaration à la presse du professeur Philip Alston, rapporteur special des Nations unies sur les executions extra judiciaires : Mission en RD Congo du 5 au 15 octobre 2009",2009-10-15,"http://reliefweb.int/node/330029","All"
43634,329331,"Humanitarian Action in the Democratic Republic of the Congo, weekly report, 16 October 2009",2009-10-16,"http://reliefweb.int/node/329331","All"
43854,329498,"Factbox - The battle in Pakistan's South Waziristan",2009-10-18,"http://reliefweb.int/node/329498","All"
44074,329737,"Central African Republic: ICRC Bulletin No. 01 / 2009 - Thousands affected by violence in Haut-Mbomou",2009-10-20,"http://reliefweb.int/node/329737","All"
44294,330068,"Philippines: NDCC update - Severe weather bulletin no. 14 for Typhoon ""Ramil"" (Lupit) and preparedness measures, 21 Oct 2009",2009-10-21,"http://reliefweb.int/node/330068","All"
44514,330288,"Press conference by Special Rapporteur on human rights in Myanmar",2009-10-22,"http://reliefweb.int/node/330288","All"
44734,330550,"Aid workers see dangers increase in spreading conflicts ",2009-10-23,"http://reliefweb.int/node/330550","All"
44954,330835,"MSF urges Liberia rape victims to seek hospital help",2009-10-26,"http://reliefweb.int/node/330835","All"
45174,330942,"OPT: Educating for tolerant thinking within a conflict zone",2009-10-27,"http://reliefweb.int/node/330942","All"
45394,331507,"Sudan: On the fourth meeting of the strengthened High Level Committee",2009-10-28,"http://reliefweb.int/node/331507","All"
45614,331132,"Guinée : La crise politique est ressentie jusque dans les marchés et affecte les pauvres",2009-10-29,"http://reliefweb.int/node/331132","All"
45834,333480,"Iraq: IAU Newsletter, Oct 2009",2009-10-31,"http://reliefweb.int/node/333480","All"
46054,332480,"Colombia: OCHA Informe semanal de situación humanitaria No 43, 26 de octubre - 1 de noviembre de 2009",2009-11-01,"http://reliefweb.int/node/332480","All"
46274,331575,"Greece shuts down migrant detention centre on island",2009-11-02,"http://reliefweb.int/node/331575","All"
46494,331939,"Le Comité des droits économiques, sociaux et culturels examine le rapport de la République démocratique du Congo",2009-11-04,"http://reliefweb.int/node/331939","All"
46714,332062,"RD Congo/Equateur : 16.000 habitants de Dongo fuient la tension et se retrouvent au Congo Brazzaville",2009-11-05,"http://reliefweb.int/node/332062","All"
46934,332287,"Somalia: SRSG's 19th letter to the diaspora",2009-11-06,"http://reliefweb.int/node/332287","All"
47154,332602,"Uplifting rural Pakistan",2009-11-09,"http://reliefweb.int/node/332602","All"
